Month,Rice,Wheat,Atta,Gram Dal,Tur Dal,Urad Dal,Moong Dal,Masur Dal,Sugar,Gur,Groundnut Oil,Mustard Oil,Vanaspati,Sunflower Oil,Soya Oil,Palm Oil,Tea,Milk,Potato,Onion,Tomato,Salt
201401,27.49,21.88,24.02,49.66,70.13,64.37,79.13,59.69,35.04,40.35,122.85,99.26,74.86,97.42,85.52,71.8,205.69,35.43,18.28,22.9,21.1,14.08
201402,27.67,21.82,23.8,48.45,70.07,65.26,82.81,59.69,34.53,39.77,120.89,98.94,74.94,96.05,84.74,71.57,204.4,35.28,15.55,18.87,16.68,14.04
201403,27.78,21.71,23.76,48.89,70.26,66.12,85.78,61.11,34.81,39.28,122.2,98.78,76.56,97.01,85.3,72.31,202.55,35.75,16.18,17.6,16.74,14.13
201404,27.74,21.5,23.73,48.97,70.5,67.61,89.3,63.38,35.97,39.46,122.34,99.53,77.07,96.85,85.62,72.4,209.74,36.45,18.26,17.68,17.83,14.33
201405,27.74,21.25,23.19,48.86,70.53,69.46,90.31,65.6,36.49,39.88,122.8,98.74,76.97,96.74,84.65,71.81,206.87,36.55,20.62,19.13,18.83,14.42
201406,27.98,21.18,23.37,47.59,69.93,71.53,88.17,66.35,36.44,40.77,119.19,98.05,76.56,95.75,84.33,71.1,208.45,36.71,21.91,21.43,18.79,14.46
201407,28.52,21.72,23.84,46.55,70.5,73.17,87.72,67.14,36.71,41.27,122.58,98.65,77.78,97.43,85.17,71.01,206.21,37.49,24.55,28.82,35.58,14.61
201408,28.63,21.82,24.04,46.31,71.67,76.3,89.14,68.47,36.62,41.59,122.37,98.4,78.22,96.46,84.82,69.97,204.36,37.88,27.18,29.03,49.78,14.71
201409,29,22.13,24.25,46.38,73.96,78.64,89.92,69.84,36.45,42.31,120.65,98.8,77.55,95.89,84.93,68.39,209.69,37.81,29,27.65,37.52,14.81
201410,28.69,22.25,24.4,46.4,74.34,76.89,90.1,70.43,36.19,43.51,119.84,99.2,77.41,95.62,84.87,68.8,209.72,37.99,29.71,26.27,31.51,14.87
201411,28.2,22.27,24.39,46.04,75.24,76.23,94.32,71.62,35.92,42.68,120.21,99.09,76.93,95.59,84.71,68.19,205.76,38.41,30.11,26.2,25.57,14.86
201412,27.89,22.06,24.3,45.9,75.78,76.81,96.63,72.25,35.03,40.81,118.97,99.19,76.54,95.81,84.01,67.33,204.75,38.5,24.53,25.85,24.2,14.73
201501,27.57,22.13,24.3,47.26,77.21,78.35,98.64,74.38,34.17,40.39,119.53,100.14,76.4,95.94,84.73,68.98,205.19,38.94,19.19,25.26,23.92,14.81
201502,27.58,22.88,24.94,48.51,79.08,79.47,99.89,74.88,33.7,41.06,120.22,101.65,76.75,95.5,85.2,67.55,206.27,39,17.4,25.04,21.4,14.71
201503,27.38,22.72,24.98,49.64,81.96,79.99,100.07,74.17,33.02,40.68,119.33,99.94,76.3,94.29,85.43,68.02,207.26,39.05,15.68,24.31,20.7,14.7
201504,27.51,22.6,24.92,51.53,85.49,83.46,101.44,74.79,32,40.12,120.08,99.83,75.76,93.87,85.37,67.13,207.62,38.97,14.25,22.27,20.71,14.82
201505,27.47,22.31,24.46,56.89,92.31,91.79,103.07,78.48,31.55,41.11,121.29,100.57,75.59,94.02,84.82,67.56,208.86,39.3,13.8,22.3,25.84,14.73
201506,27.52,22.49,24.51,59.84,95.67,97.72,101.8,81.44,30.64,41.21,121.13,101.9,74.68,93.16,84.02,67.51,207.43,39.48,15.04,25,26.05,14.61
201507,27.51,22.54,24.6,60.43,98.99,99.27,99.62,83.16,29.71,41.34,121.21,103.25,74.68,93.59,83.46,66.81,208.58,39.78,15.84,28.74,29.6,14.78
201508,27.32,22.42,24.41,61.42,105.67,101.17,98.8,85.64,29.52,40.34,121.97,103.56,74.12,93.54,83.28,65.88,207.43,39.69,15.78,45.2,26,14.85
201509,27.42,22.6,24.57,64.07,120.54,107.64,100.27,89.33,30.04,40.41,124.01,105.49,73.58,94.98,83.3,65.15,207.05,39.85,15.88,54.84,26.03,14.92
201510,27.56,23.04,24.71,68.3,143.75,129.54,107.89,91.18,30.73,40.71,124.71,107.55,73.28,95.86,83.41,64.84,207.47,39.67,16.84,45.61,29.25,14.92
201511,27.53,23.44,24.7,69.82,152.27,141.6,109.36,90.33,31.24,40.96,124.44,113.75,72.83,96.12,82.1,63.11,205.79,39.11,17.76,37.06,39.48,14.93
201512,27.5,23.32,24.65,69.31,150.06,142.07,107.67,88.1,31.73,40.51,124.68,113.2,72.16,96.59,82.51,63.24,206.08,39.55,16.73,28.47,31.16,15.06
201601,27.15,23.3,24.59,67.7,145.63,139.45,105.59,84.12,33.31,39.84,124.21,112.47,71.7,97.05,82.17,63.16,204.8,39.72,15.22,22.88,28.04,15.19
201602,27.07,23.75,24.95,66.26,140.04,136.96,102.79,80.77,34.09,39.64,123.88,111.47,71.42,96.82,81.91,64.66,203.22,39.9,14.87,19.89,20.32,15.05
201603,26.96,23.62,24.92,65.69,135.05,135.02,101.04,79.3,34.83,39.33,123.28,108.21,71.14,96.32,81.25,65.29,198.3,39.67,15.34,17.4,17.27,15.07
201604,26.89,23.2,24.54,68.56,138.16,141.21,100.94,81.35,37.57,40.2,125.63,106.72,72.32,96.33,82.2,67.81,199.62,39.56,16.7,16.61,19.2,15.23
201605,26.95,23.33,24.53,73.85,141.29,152.14,100.88,83.22,39.38,41.22,129.9,109.2,73.97,95.86,82.96,70.43,199.67,39.89,19.15,15.93,26.83,15.05
201606,27.15,23.41,24.66,79.5,140.19,152.78,98.5,84.09,39.64,41.98,132.65,109.07,74.57,97.18,83.01,70.18,199.74,40.39,21.42,16.05,39.94,15.17
201607,27.51,23.33,24.78,93.49,139.37,151.95,96.81,85.66,39.91,42.72,134.85,108.85,74.73,96.36,83,69.08,199.08,40.54,22.79,16.91,40.69,14.89
201608,27.71,23.39,25.05,100.21,132.25,143.98,92.8,85.48,40.77,43.95,135.39,110.12,75.26,96.4,83.47,70.37,200.25,40.41,22.85,16.98,29.82,14.96
